piscina,apartamento,gas,amueblado,patio,nauta,cisterna,finca,portal,hospital,escuela,carro,terraza,cuartos,banos,salas,plantas,cocinas,comedores,desahogos,pisos,splits,refrigeradores,garajes,tanques,price,Provincias,Municipios
0,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,2,0,0,2,30000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,1,0,0,0,1,4,2,0,2,2,0,0,0,0,0,0,4,8000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,80000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,18000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,3,2,0,0,0,0,0,0,2,50000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,8500.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,1,0,1,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,0,2,2,0,4,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,1,1,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,30000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,1,15000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,13000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,50000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,3,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,9000.0, La Habana,Arroyo Naranjo
